 Gain Amp Loss LOH
B09006591 1p 0 0 0 0
B09006591 2p 0 0 0 3.66
B09006591 3p 0 0 0 0
B09006591 4p 0 0 0 0
B09006591 5p 0 0 0 0
B09006591 6p 0 0 0 0
B09006591 7p 0 0 0 0
B09006591 8p 0 0 0 0
B09006591 9p 0 0 0 0
B09006591 10p 0 0 0 0
B09006591 11p 0 0 0 0
B09006591 12p 0 0 0 0
B09006591 16p 0 0 0 9.4
B09006591 17p 0 0 0 0
B09006591 18p 0 0 0 0
B09006591 19p 0 0 0 0
B09006591 20p 0 0 0 0
B09006591 21p 0 0 0 0
B09006591 Yp 0 0 0 0
B09006591 Xp 0 0 0 5.56
B09006591 1q 0 0 0 0
B09006591 2q 0 0 0 0
B09006591 3q 0.27 0 0 0
B09006591 4q 0 0 0 0
B09006591 5q 0 0 0 0
B09006591 6q 0.04 0 0 0
B09006591 7q 0 0 0 0
B09006591 8q 0 0 0 0
B09006591 9q 0 0 0 0
B09006591 10q 0 0 0 0
B09006591 11q 0 0 0 0
B09006591 12q 0 0 0 0
B09006591 13q 0 0 0 0
B09006591 14q 0 0 0 0
B09006591 15q 0.31 0 0 0
B09006591 16q 0 0 0 0
B09006591 17q 0 0 0 5.6
B09006591 18q 0 0 0 0
B09006591 19q 0 0 0 0
B09006591 20q 0 0 0 0
B09006591 21q 0 0 0 0
B09006591 22q 0 0 0.12 0
B09006591 Yq 0 0 0 0
B09006591 Xq 0 0 0 9.39
B09009971 1p 0.97 0 0.36 0
B09009971 2p 0.56 0 0 0
B09009971 3p 3.23 0 0.03 3.67
B09009971 4p 0 0 0 5.21
B09009971 5p 0 0 0 0
B09009971 6p 0.46 0 0.2 0
B09009971 7p 95.32 0 0 0
B09009971 8p 99.48 1.25 0 0
B09009971 9p 100 0 0 0
B09009971 10p 0 0 0.59 0
B09009971 11p 0 0 4.67 100
B09009971 12p 98.67 0.95 0 0
B09009971 16p 90.99 0 0 0
B09009971 17p 99.79 0 0 0
B09009971 18p 99.61 3.41 0 0
B09009971 19p 99.3 0 0 0
B09009971 20p 99.47 0 0 0
B09009971 21p 0 0 0 0
B09009971 Yp 0 0 0 0
B09009971 Xp 0 0 4.3 0
B09009971 1q 0.22 0 0 0
B09009971 2q 0.17 0 0 0
B09009971 3q 0.26 0 0.25 0
B09009971 4q 0 0 0.25 0
B09009971 5q 0.21 0 6.27 0
B09009971 6q 0 0 0 0
B09009971 7q 99.82 0 0 2.76
B09009971 8q 99.74 1.7 0 0
B09009971 9q 99.98 0 0 0
B09009971 10q 0 0 0.26 0
B09009971 11q 0 0 1.11 100
B09009971 12q 99.92 0 0 0
B09009971 13q 99.93 0 0 0
B09009971 14q 0 0 0 0
B09009971 15q 0.5 0 1 0
B09009971 16q 99.93 0 0 0
B09009971 17q 98.29 0 0 0
B09009971 18q 99.92 0.42 0 0
B09009971 19q 96.59 0 0 0
B09009971 20q 100 0 0 0
B09009971 21q 1.04 0 0 0
B09009971 22q 1.32 0 0.6 0
B09009971 Yq 0 0 0 0
B09009971 Xq 0 0 0.26 0
B10.10002 1p 100 0 0 0
B10.10002 2p 100 0 0 0
B10.10002 3p 0.27 0 1.61 0
B10.10002 4p 99.89 0 0 0
B10.10002 5p 99.76 0 0 0
B10.10002 6p 99.24 0 0 0
B10.10002 7p 99.97 0 0 0
B10.10002 8p 99.56 0 0 0
B10.10002 9p 99.92 0.55 0 0
B10.10002 10p 100 0 0 0
B10.10002 11p 99.93 0 0 0
B10.10002 12p 99.65 0 0 0
B10.10002 16p 94.95 0.92 0 11.64
B10.10002 17p 100 0 0 0
B10.10002 18p 100 0 0 0
B10.10002 19p 96.38 0 0 0
B10.10002 20p 98.85 0 0 0
B10.10002 21p 0 0 85.12 0
B10.10002 Yp 0 0 0 0
B10.10002 Xp 99.2 0 0 12.34
B10.10002 1q 99.97 0 0 0
B10.10002 2q 100 0 0 1.82
B10.10002 3q 0.09 0 0.27 0
B10.10002 4q 99.62 1.47 0 0
B10.10002 5q 99.88 1.76 0 0
B10.10002 6q 99.73 0 0 0
B10.10002 7q 98.96 0 0 0
B10.10002 8q 97.39 0 2.5 0
B10.10002 9q 99.86 0.28 0 0
B10.10002 10q 98.33 0 0 0
B10.10002 11q 99.33 0 0 0
B10.10002 12q 99.59 0 0 0
B10.10002 13q 99.31 0 0 0
B10.10002 14q 98.2 0 0.15 0
B10.10002 15q 0.46 0 0.39 3.48
B10.10002 16q 99.82 0.67 0 0
B10.10002 17q 99.44 0 0 0
B10.10002 18q 99.75 0 0 0
B10.10002 19q 99.81 0 0 0
B10.10002 20q 100 0 0 0
B10.10002 21q 0.64 0 2.45 0
B10.10002 22q 1.08 0 0.12 0
B10.10002 Yq 0 0 0 0
B10.10002 Xq 100 0 0 13.23
B11.38796 1p 0.28 0 0 0
B11.38796 2p 99.97 0 0 0
B11.38796 3p 0.54 0 0.27 0
B11.38796 4p 98.94 0 0 0
B11.38796 5p 0 0 0 0
B11.38796 6p 100 0 0 0
B11.38796 7p 0 0 0 0
B11.38796 8p 98.95 0 0.6 0
B11.38796 9p 0 0 0 0
B11.38796 10p 0 0 0 0
B11.38796 11p 100 0 0 10.19
B11.38796 12p 99.62 0 0 0
B11.38796 16p 0 0 3.05 11.05
B11.38796 17p 0 0 0 0
B11.38796 18p 100 0 0 0
B11.38796 19p 100 0 0 0
B11.38796 20p 100 0 0 0
B11.38796 21p 85.12 0 0 0
B11.38796 Yp 0 0 0 0
