"","GAIN","AMPLI","LOSS","LOH"
"1p",0.28,0,0,0
"2p",67.57,0,0,0
"3p",0.35,0,0.27,0
"4p",69.45,0,0,0
"5p",0,0,0,0
"6p",100,0,0,0
"7p",0,0,0,0
"8p",89.23,0,0.6,0
"9p",0,0,0,0
"10p",0,0,0,0
"11p",100,0,0,10.19
"12p",80.58,0,0,0
"16p",0,0,3.05,11.05
"17p",0,0,0,0
"18p",100,0,0,0
"19p",100,0,0,0
"20p",100,0,0,0
"21p",85.12,0,0,0
"Yp",0,0,0,0
"Xp",100,0,0,4.41
"1q",98.13,0,0,0
"2q",38.27,0,0,2.03
"3q",0,0,0.25,0
"4q",46.42,0,0,0
"5q",0.21,0,0,2.72
"6q",100,0,0,0
"7q",0.13,0,0,0
"8q",99.3,0,0,0
"9q",0,0,0,0
"10q",0.71,0,0,0
"11q",100,0,0,3.17
"12q",82.68,0,0,0
"13q",100,0,0,0
"14q",0,0,0,0
"15q",0.3,0,0,0
"16q",0,0,98.22,0
"17q",0,0,0,0
"18q",99.99,0,0,0
"19q",56.47,0,0.13,0
"20q",100,0,0,0
"21q",100,0,0,0
"22q",1.05,0,0,0
"Yq",0,0,0,0
"Xq",100,0,0,5.46
