"","GAIN","AMPLI","LOSS","LOH"
"1p",0,0,40.96,0
"2p",3.95,0,26.05,0
"3p",1.58,0,0,5.17
"4p",0,0,0,0
"5p",0,0,0,0
"6p",0,0,0,0
"7p",97.41,0,0,0
"8p",0,0,0.61,6.1
"9p",0,0,31.6,0
"10p",0,0,100,0
"11p",0.26,0,0.61,0
"12p",0.33,0,48.51,0
"16p",0,0,90.76,0
"17p",0,0,0,0
"18p",0,0,0,0
"19p",94.86,0,0,0
"20p",1.11,0,0,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",0,0,0,4.86
"1q",0,0,17.43,0
"2q",0.25,0,1.66,0
"3q",0,0,5.21,7.15
"4q",0,0,0,0
"5q",0,0,0,0
"6q",0,0,22.17,0
"7q",100,0,0,3.2
"8q",0.26,0,0.37,0
"9q",0.36,0,0,0
"10q",0,0,100,0
"11q",0.34,0,20.52,0
"12q",0.18,0,0,0
"13q",0,0,0.36,0
"14q",0,0,0,0
"15q",0,0,0,0
"16q",0,0,47.49,0
"17q",0.51,0,0.16,0
"18q",0,0,0,0
"19q",67.66,0,12.3,0
"20q",0,0,0,0
"21q",0,0,0,0
"22q",0,0,0,0
"Yq",0,0,0,0
"Xq",0,0,0,9.27
