"","GAIN","AMPLI","LOSS","LOH"
"1p",0,0,25.23,43.24
"2p",100,0,0,0
"3p",100,0,0,10.3
"4p",0,0,20.79,100
"5p",99.78,0,0,0
"6p",100,0,0,0
"7p",100,0,0,0
"8p",0,0,5.13,32.56
"9p",100,0,0,82.95
"10p",100,0,0,7.98
"11p",49.94,0,0,100
"12p",99.7,0,0,21.4
"16p",4.08,0,1.6,100
"17p",14.19,0,84.83,0
"18p",0,0,0,87.32
"19p",100,0,0,33.73
"20p",100,0,0,0
"21p",85.12,0,0,0
"Yp",0,0,99.93,0
"Xp",100,0,0.18,0
"1q",98.13,0,0,0
"2q",100,0,0,0
"3q",100,0,0,0
"4q",0,0,0,99.92
"5q",0,0,1.55,43.57
"6q",59.38,0,40.33,0
"7q",100,0,0,0
"8q",0,0,3.01,7.05
"9q",99.98,0,0,96.12
"10q",65.78,0,0,0
"11q",10.79,0,0,100
"12q",86.1,0,0,29.01
"13q",100,0,0,100
"14q",53.6,0,0,98.92
"15q",0,0,86.68,0
"16q",58.27,0,40.33,23.32
"17q",100,0,0,0
"18q",0,0,17.11,66.54
"19q",100,0,0,0
"20q",100,0,0,0
"21q",100,0,0,0
"22q",100,0,0.14,0
"Yq",0,0,100,0
"Xq",100,0,0.51,0
