"","GAIN","AMPLI","LOSS","LOH"
"1p",0,0,45.4,9.7
"2p",18.76,0,32.67,32.33
"3p",15.16,0,18.54,3.74
"4p",8.14,0,0,0
"5p",0.7,0,90.48,0
"6p",0,0,39.35,9.17
"7p",0.6,0,1.85,6.33
"8p",94.99,0,94.89,0
"9p",3.15,0,84.83,0
"10p",50.79,0,55.67,0
"11p",0.27,0,0.89,24.96
"12p",1.61,0,53.79,7.41
"16p",78.41,0,16.65,0
"17p",0,0,99.89,0
"18p",0,0,22.29,0
"19p",4.75,0,95.2,0
"20p",0,0,47.05,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",0,0,0,0
"1q",0.24,0,23.64,24.76
"2q",0,0,22.66,13.13
"3q",11.14,0,17.29,2.69
"4q",0,0,13.22,2.83
"5q",13.79,0,37.65,3.03
"6q",0.93,0,9.94,4.2
"7q",6.89,0,58.42,15.9
"8q",25.53,0,11.15,4.03
"9q",8.26,0,3.23,7.81
"10q",6.81,0,62.55,0
"11q",0,0,13.63,3.27
"12q",21.07,0,15.53,0
"13q",0.68,0,35.78,3.99
"14q",3.89,0,18.82,4.8
"15q",27.01,0,61.69,7.85
"16q",43.17,0,6.82,0
"17q",2.4,0,46.88,0
"18q",94.78,0,56.58,5.25
"19q",0,0,55.44,0
"20q",1.11,0,13.66,0
"21q",39.95,0,40.42,0
"22q",0,0,10.99,0
"Yq",0,0,0,0
"Xq",0,0,0.26,0
