"","GAIN","AMPLI","LOSS","LOH"
"1p",13.88,0,25.4,0
"2p",100,0,0,0
"3p",0,0,0,0
"4p",0,0,51.7,0
"5p",96.4,0,0,0
"6p",100,0,0,0
"7p",98.44,0,0,0
"8p",0,0,0,0
"9p",0,0,0,75.2
"10p",100,0,0,0
"11p",87.51,0,0,0
"12p",95.82,0,0,0
"16p",90.44,0,0,0
"17p",0,0,99.89,0
"18p",0,0,25.77,0
"19p",0,0,0,0
"20p",0,0,11.91,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",38.4,0,0,7.36
"1q",93.64,0,0,0
"2q",100,0,0,0
"3q",38.62,0,0,0
"4q",0,0,13.68,0
"5q",3.36,0,0,2.59
"6q",96.78,0,0,0
"7q",74.63,0,0,0
"8q",96.07,0,0,4.6
"9q",0,0,0,0
"10q",43.12,0,0,0
"11q",96.08,0,0,0
"12q",0,0,0,0
"13q",100,0,0,0
"14q",0,0,95.33,0
"15q",0,0,99.79,0
"16q",87.28,0,0,0
"17q",7.19,0,0,0
"18q",5.86,0,89.34,0
"19q",23.57,0,0,39.69
"20q",37.57,0,0,0
"21q",0,0,0,100
"22q",8.67,0,10.87,47.9
"Yq",0,0,0,0
"Xq",93.73,0,0,8.09
